post_title,post_content,tax_area,shop_catch,shop_tel,shop_hours,shop_address,shop_line,official_url,review_star,recommend_text,shop_holiday,shop_booking,shop_parking,basic_price,price_textarea,price_90,price_120,price_150,price_50,price_60,price_70,price_80,price_100,price_180,price_extension,price_nomination,age_18,age_20,age_25,age_30,age_35,age_40,therapist_1_name,therapist_1_img,therapist_1_text,therapist_1_url,therapist_2_name,therapist_2_img,therapist_2_text,therapist_2_url,therapist_3_name,therapist_3_img,therapist_3_text,therapist_3_url,area_avg_90,area_avg_120,area_avg_150,area_ranking_pickup
FANTASY（ファンタジー）,,堺筋本町,,080-9125-0806,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区北久宝寺町,https://line.me/R/ti/p/~443qynck,,,,不定休,完全予約制,,16000,,16000,21000,27000,,,,,,34000,,,0,16,22,1,1,0,,,,,,,,,,,,,,,,
Mrs.Feliciarc 堺筋本町店（ミセスフェリシアーク）,,堺筋本町,,070-9004-9199,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~mrsfeliciarc,,,,不定休,完全予約制,,14000,,14000,17000,20000,,,11000,,,23000,6000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Flora（フローラ）,,堺筋本町,,090-8234-1876,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町,,,,,不定休,,,17000,,17000,23000,29000,,,,,,36000,7000,1000,0,19,6,0,0,0,,,,,,,,,,,,,,,,
FLYING SPA（フライングスパ）,,堺筋本町,,070-1764-9433,10:00～翌5:00,大阪市中央区南船場2丁目,https://line.me/R/ti/p/~flyingspa555,,,,不定休,予約優先,,12000,,12000,18000,24000,,11000,,,,32000,6000,,0,17,7,0,0,0,,,,,,,,,,,,,,,,
FORTY FIVE（フォーティーファイブ）,,堺筋本町,,070-1829-4545,10:00～翌5:00,大阪市中央区南久宝寺町,https://line.me/R/ti/p/~45fortyfive45,,,,不定休,完全予約制,,13000,,,16000,,,,,,13000,,,1000,1,21,9,0,0,0,,,,,,,,,,,,,,,,
Gals selection（ギャルズセレクション）,,堺筋本町,,070-4729-5000,10:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区北久宝寺町1丁目,,,,,不定休,完全予約制,,14000,,14000,18000,22000,,10000,,,,,6000,1000,2,32,5,0,0,0,,,,,,,,,,,,,,,,
祇園 the.Mrs 堺筋本町店（ぎおんザミセス）,,堺筋本町,,070-9003-3363,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町,,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,,,,30000,6000,1000,0,0,0,8,11,13,,,,,,,,,,,,,,,,
G.O.A.T（ゴート）,,堺筋本町,,090-2222-2968,10:00～翌5:00（受付時間8:30～翌3:30）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~goat.osaka,,,,不定休,完全予約制,,19000,,19000,24000,29000,,,,,,34000,6000,1000,0,8,12,1,0,0,,,,,,,,,,,,,,,,
Graf Spa（グラフスパ）,,堺筋本町,,080-4829-7115,10:00～翌3:00（最終受付）,大阪市中央区材木町,https://line.me/R/ti/p/~grafspa,,,,年中無休,,,14000,,14000,19000,24000,,9000,,,,,6000,,0,7,4,0,0,0,,,,,,,,,,,,,,,,
庵（いおり）,,堺筋本町,,080-2452-9724,10:00～翌2:00（受付時間9:00～24:00）,大阪市中央区久太郎町1丁目,https://line.me/R/ti/p/~062whlus,,,,不定休,要予約,,14000,,14000,18000,22000,,,,,,,,1000,0,0,25,8,2,0,,,,,,,,,,,,,,,,
感謝,,堺筋本町,,050-8883-9626,10:00～翌2:00（受付時間9:00～翌2:00）,大阪市中央区博労町,,,,,不定休,完全予約制,,13000,,13000,16000,19000,,10000,,,,23000,6000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
綺麗なサロン,,堺筋本町,,080-4640-5407,10:00～翌1:00（受付時間9:00～24:00）,大阪市中央区南本町,https://line.me/R/ti/p/~salon1212,,,,年末年始,完全予約制,,14000,,14000,17000,21000,,,,,,,5000,0,0,0,0,0,7,6,,,,,,,,,,,,,,,,
Kiss Mint（キスミント）,,堺筋本町,,090-7312-0584,11:00～翌3:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~665wqfcr,,,,不定休,完全予約制,,13000,,13000,17000,21000,,,,,,,,1000,1,22,17,0,0,0,,,,,,,,,,,,,,,,
心和（こより）,,堺筋本町,,090-8529-0546,11:00～翌3:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~124wkyjv,,,,年中無休,完全予約制,,13000,,13000,17000,21000,,,,,,,5000,1000,0,0,4,4,6,3,,,,,,,,,,,,,,,,
la nature（ラ・ナチュール）,,堺筋本町,,06-6796-7121,10:00～24:00（受付時間9:30～23:00）,大阪市中央区南船場1丁目,,,,,年中無休,完全予約制,,14000,,14000,18000,22000,,,,,,,6000,1000,0,0,3,10,0,0,,,,,,,,,,,,,,,,
madame VODKA（マダムウォッカ）,,堺筋本町,,070-9035-4050,10:00～24:00,大阪市中央区久太郎町1丁目,https://line.me/R/ti/p/~vodka4050,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,12000,,,30000,6000,0,0,0,0,0,13,11,,,,,,,,,,,,,,,,
Magokoro（マゴコロ）,,堺筋本町,,070-1568-3354,10:00～翌5:00（受付時間9:00～翌1:00）,大阪市中央区南久宝寺町1丁目,,,,,不定休,完全予約制,,13000,,13000,17000,22000,,10000,,,,26000,5000,1000,0,1,5,0,3,0,,,,,,,,,,,,,,,,
Maria Elena（マリアエレーナ）,,堺筋本町,,070-6927-0888,10:00～翌3:30（受付時間9:30～翌3:30）,大阪市中央区南久宝寺町,https://line.me/R/ti/p/~mariaelena2025,,,,不定休,予約優先,,12000,,12000,18000,24000,,8000,,,,32000,6000,,0,7,9,0,0,0,,,,,,,,,,,,,,,,
メンズエステの会,,堺筋本町,,070-8521-7595,10:00～翌5:00（受付時間10:00～翌3:30）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~533fjjzk,,,,不定休,完全予約制,,15000,,15000,20000,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
ミセスの子守唄,,堺筋本町,,090-4292-4129,9:00～翌3:00,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~mrs.komoriuta,,,,年中無休,完全予約制,,14000,,,,,,,,,14000,,6000,1000,0,0,1,1,1,5,,,,,,,,,,,,,,,,
Mother Complex（マザーコンプレックス）,,堺筋本町,,070-5437-7696,10:00～翌1:00,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~mazakon55,,,,不定休,完全予約制,,13000,,13000,17000,21000,,,11000,,,,6000,,0,0,0,12,11,9,,,,,,,,,,,,,,,,
Mrs.Fancy（ミセスファンシー）,,堺筋本町,,080-2341-7108,11:00～24:00（受付時間10:00～24:00）,大阪市中央区材木町,https://line.me/R/ti/p/~mrsfancy,,,,不定休,完全予約制,,12000,,12000,17000,22000,,,,,14000,27000,6000,1000,0,0,0,5,8,9,,,,,,,,,,,,,,,,
Mrs.FlowerSPA（ミセスフラワースパ）,,堺筋本町,,080-4583-9121,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区久太郎町2丁目,https://line.me/R/ti/p/~mrsflowerspa,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,,,,30000,6000,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Mrs.Mirage（ミセスミラージュ）,,堺筋本町,,070-1842-1888,10:00～翌3:00（受付時間9:00～翌3:00）,大阪市中央区北久宝寺町1丁目,,,,,不定休,,,15000,,15000,20000,25000,,,,,,30000,,,0,0,0,12,7,10,,,,,,,,,,,,,,,,
ミセス大阪メンズエステPREMIER（プレミア）,,堺筋本町,,090-2254-5566,10:00～翌5:00（最終受付）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~mrs-premier,,,,不定休,,,15000,,15000,20000,25000,,,,,,30000,6000,1000,0,0,1,9,17,10,,,,,,,,,,,,,,,,
Mrs.Grand Noble（ミセス グランノーブル）,,堺筋本町,,080-1569-2679,12:00～翌5:00（受付時間11:00～翌4:00）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~mrs.grandnoble,,,,不定休,,,15000,,15000,19000,24000,,,11000,,,29000,6000,1000,0,0,0,0,1,20,,,,,,,,,,,,,,,,
Artist（アーティスト）,,堺筋本町,,080-4786-4220,10:00～翌3:00（受付時間8:00～翌3:00）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~ms-artist,,,,年中無休,完全予約制,,14000,,14000,20000,26000,,,,,,32000,7000,,0,3,31,4,1,0,,,,,,,,,,,,,,,,
M‘s（エムズ）,,堺筋本町,,090-5247-4154,11:00～22:00,大阪市中央区島之内,,,,,不定休,予約優先,,15000,,15000,19000,23000,,,,,,,5000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Lycka（リッカ）,,堺筋本町,,070-9091-5356,10:00～23:00（受付時間9:30～21:30）,大阪市中央区南本町1丁目,https://line.me/R/ti/p/~818yvstf,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,,,,30000,5000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Neo Mrs.Cyan（ネオミセスシアン）,,堺筋本町,,070-8975-5151,11:00～翌5:00（受付時間10:00～翌3:30）,大阪市中央区南久宝寺町,https://line.me/R/ti/p/~cyan_osaka,,,,不定休,完全予約制,,12000,,,,,,,,12000,,,6000,,0,0,2,4,0,0,,,,,,,,,,,,,,,,
Office Lady（オフィスレディ）,,堺筋本町,,070-5268-0388,10:00～翌5:00（受付時間9:00～翌3:00）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~office.lady,,,,不定休,,,14000,,14000,18000,22000,,,,,,26000,6000,1000,1,19,5,0,0,0,,,,,,,,,,,,,,,,
MUSE（ミューズ）,,堺筋本町,,070-6507-0062,10:00～翌3:00,大阪市中央区北久宝寺町1丁目,,,,,不定休,完全予約制,,14000,,14000,20000,26000,,12000,,,,,7000,,0,2,5,1,0,0,,,,,,,,,,,,,,,,
Elin（エリン）,,堺筋本町,,090-2746-7153,10:00～翌8:00（受付時間9:00～翌7:00）,大阪市中央区大手通3丁目,,,,,年中無休,完全予約制,,17000,,17000,22000,28000,,,,,,,6000,1000,0,22,6,0,0,0,,,,,,,,,,,,,,,,
Feliz（フェリス）,,堺筋本町,,080-8332-5233,10:00～翌8:00（受付時間9:00～翌8:00）,大阪市中央区大手通3丁目,https://line.me/R/ti/p/~642yjllu,,,,年中無休,完全予約制,,20000,,20000,25000,30000,,,,,,,6000,1000,0,15,1,0,0,0,,,,,,,,,,,,,,,,
Perfume（パフューム）,,堺筋本町,,06-6210-1777,9:00～翌5:00（受付時間9:00～翌3:00）,大阪市中央区南久宝寺町,,,,,年中無休,完全予約制,,16000,,16000,20000,26000,,,,,,32000,,1000,0,8,19,1,1,0,,,,,,,,,,,,,,,,
ぷちどり～む,,堺筋本町,,070-8993-5577,11:00～翌3:00,大阪市中央区北久宝寺町1丁目,,,,,不定休,完全予約制,,14000,,14000,18000,22000,,,,,,26000,6000,1000,0,1,0,0,0,0,,,,,,,,,,,,,,,,
プレミアム離宮,,堺筋本町,,080-2370-3425,11:00～24:00（受付時間10:00～22:00）,大阪市中央区南本町,,,,,不定休,完全予約制,,14000,,14000,18000,22000,,,,,,,6000,1000,0,0,1,3,2,0,,,,,,,,,,,,,,,,
Queen Spumante 長堀橋店（クイーンスプマンテ）,,堺筋本町,,080-9602-0880,10:00～翌3:30（受付時間9:30～翌3:30）,大阪市中央区南船場,https://line.me/R/ti/p/~queenspumante2022,,,,不定休,予約優先,,12000,,12000,18000,24000,,8000,,,,32000,6000,,0,13,16,0,0,0,,,,,,,,,,,,,,,,
Queen Spumante 堺筋本町店（クイーンスプマンテ）,,堺筋本町,,080-9602-0880,10:00～翌3:30（最終受付）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~queenspumante2022,,,,不定休,予約優先,,12000,,12000,18000,24000,,8000,,,,32000,6000,,0,13,16,0,0,0,,,,,,,,,,,,,,,,
Relafull（リラフル）,,堺筋本町,,090-8533-9924,11:00～24:00（最終受付23:00）,大阪市中央区材木町,,,,,不定休,完全予約制,,14000,,14000,18000,22000,,,,,,26000,,1000,0,3,10,1,1,0,,,,,,,,,,,,,,,,
Royal Sweet（ロイヤルスイート）,,堺筋本町,,090-4236-1960,12:00～翌2:00（受付時間10:30～24:30）,大阪市中央区久太郎町1丁目,https://line.me/R/ti/p/~sweet4519,,,,年中無休,,,15000,,,19000,25000,,,,,15000,31000,,1000,0,20,18,1,0,0,,,,,,,,,,,,,,,,
堺筋本町倶楽部,,堺筋本町,,090-8526-4077,10:00～翌5:00,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~787vywyd,,,,不定休,完全予約制,,13000,,13000,18000,24000,,,,,,31000,,,0,0,0,6,3,2,,,,,,,,,,,,,,,,
シークレットルーム ヒマワリ,,堺筋本町,,090-1583-0608,9:00～翌5:00（最終受付翌3:00）,大阪市中央区南久宝寺町2丁目,https://line.me/R/ti/p/~secret-room0608,,,,不定休,完全予約制,,,,,,,,,,,,,5000,1000,0,8,7,5,10,6,,,,,,,,,,,,,,,,
Seven Luck 堺筋本町（セブンラック）,,堺筋本町,,080-4396-7554,10:00～翌6:00（受付時間9:00～翌5:00）,大阪市中央区南久宝寺町3丁目,https://line.me/R/ti/p/~sevenlucksh,,,,不定休,,,13000,,13000,18000,23000,,,,,,,6000,,2,18,8,0,0,0,,,,,,,,,,,,,,,,
素人セラピー（しろうとセラピー）,,堺筋本町,,080-8313-9282,10:00～翌2:00（受付時間9:00～24:00）,大阪市中央区北久宝寺町,https://line.me/R/ti/p/~shiroutotherapy,,,,年中無休,完全予約制,,14000,,14000,18000,22000,,,,,,,,,0,0,18,8,2,0,,,,,,,,,,,,,,,,
sirena II（シレーナ）,,堺筋本町,,080-3830-9229,10:00～翌6:00（受付時間10:00～翌5:00）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~sirenaosaka,,,,不定休,完全予約制,,14000,,14000,19000,,,,,,,,,,5,28,7,0,0,0,,,,,,,,,,,,,,,,
sirena I（シレーナ）,,堺筋本町,,080-3830-9229,10:00～翌5:00（受付時間10:00～翌5:00）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~sirenaosaka,,,,不定休,完全予約制,,14000,,14000,18000,24000,,,,,,,,,5,28,7,0,0,0,,,,,,,,,,,,,,,,
Chaton（シャトン）,,堺筋本町,,080-9608-0778,10:00～翌5:00,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~chaton-spa,,,,不定休,完全予約制,,14000,,14000,18000,22000,,,,,,26000,6000,1000,2,29,6,0,0,0,,,,,,,,,,,,,,,,
SPALOT.Mrs（スパロットミセス）,,堺筋本町,,070-9236-4709,11:00～翌5:00（受付時間10:00～翌3:00）,大阪市中央区南久宝寺町,https://line.me/R/ti/p/~spalot.mrs,,,,不定休,完全予約制,,13000,,13000,17000,21000,,,,,,25000,6000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
TAMANEGI（タマネギ）,,堺筋本町,,06-4303-5800,10:00～翌5:00（24時間受付）,大阪市中央区博労町1丁目,https://line.me/R/ti/p/~tamaoosaka,,,,年中無休,予約優先,,13000,,13000,,,,10000,,,,,7000,1000,1,22,17,0,0,0,,,,,,,,,,,,,,,,
天上人PREMIUM（てんじょうびとプレミアム）,,堺筋本町,,090-7771-1740,10:00～翌4:00（最終受付）,大阪市中央区博労町,,,,,不定休,完全予約制,,16000,,16000,21000,26000,,,,,,,,1000,2,22,11,0,0,0,,,,,,,,,,,,,,,,
The.gloss（ザ・グロス）,,堺筋本町,,080-3039-4363,9:00～翌5:00（受付時間9:00～翌3:00）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~gloss6789,,,,不定休,完全予約制,,16000,,16000,22000,28000,,,,,,34000,6000,,2,12,4,0,0,0,,,,,,,,,,,,,,,,
桃源郷（とうげんきょう）,,堺筋本町,,070-4192-6210,10:00～翌5:00,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~tougenkyou1234,,,,不定休,完全予約制,,12000,,12000,16000,,,,,,,20000,6000,1000,0,5,12,1,4,0,,,,,,,,,,,,,,,,
UNION＋（ユニオンプラス）,,堺筋本町,,080-9600-9300,10:00～翌1:00（受付時間9:00～24:00）,大阪市中央区北久宝寺町1丁目,,,,,不定休,,,14000,,14000,19000,24000,,,,,,29000,6000,1000,0,0,0,3,2,4,,,,,,,,,,,,,,,,
unison（ユニゾン）,,堺筋本町,,050-1725-0909,10:00～翌5:00,大阪市西区北堀江4丁目,https://line.me/R/ti/p/~277wtwge,,,,不定休,要予約,,15000,,15000,19000,22000,,,,,,,,,0,1,1,2,0,0,,,,,,,,,,,,,,,,
VIO:V（ヴィオーヴ）,,堺筋本町,,070-1814-0342,10:00～22:00（受付時間9:00～21:00）,大阪市中央区南久宝寺町2丁目,https://line.me/R/ti/p/~068qzkgr,,,,年中無休,完全予約制,,11000,,,,,11000,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
和いふらいん,,堺筋本町,,06-4392-7171,10:00～翌5:00（24時間受付）,大阪市中央区博労町1丁目,https://line.me/R/ti/p/~wife2018,,,,年中無休,,,11000,,11000,,,,9000,,,,,6000,1000,0,0,13,8,5,7,,,,,,,,,,,,,,,,
with（ウィズ）,,堺筋本町,,070-1349-7567,14:00～翌5:00（受付時間14:00～翌3:30）,大阪市中央区南久宝寺町1丁目,https://line.me/R/ti/p/~180howsj,,,,不定休,,,15000,,15000,20000,25000,,11000,,,,30000,6000,1000,3,14,3,1,0,0,,,,,,,,,,,,,,,,
優楽亭（ゆうらくてい）,,堺筋本町,,080-4484-8484,12:00～翌4:00（受付時間12:00～翌2:30）,大阪市中央区北久宝寺町1丁目,https://line.me/R/ti/p/~yukakutei84,,,,不定休,要予約,,13000,,13000,18000,22000,,,,,15000,29000,,1000,0,4,2,1,0,0,,,,,,,,,,,,,,,,
ゆりかご,,堺筋本町,,06-6125-5838,10:00～翌5:00（受付時間9:30～翌3:30）,大阪市中央区久太郎町,https://line.me/R/ti/p/~kokoronoyurikago,,,,年末年始,要予約,,13000,,13000,17000,21000,,,,,,25000,6000,1000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Amore・SPA（アモーレスパ）,,堺東,,070-4207-9831,10:00～翌4:00（受付時間10:00～翌2:00）,大阪府堺市堺区北花田口町2丁目,https://line.me/R/ti/p/~amore.spa,,,,不定休,完全予約制,,14000,,,,,,,,,14000,,,0,0,4,14,6,1,0,,,,,,,,,,,,,,,,
BAMBI SPA（バンビスパ）,,堺東,,070-1828-4334,12:00～翌5:00,大阪府堺市堺区南瓦町,https://line.me/R/ti/p/~bambispasakai,,,,不定休,,,14000,,14000,18000,22000,,,10000,,,26000,6000,,0,8,4,1,0,0,,,,,,,,,,,,,,,,
Bell.Madonna 堺東ルーム（ベルマドンナ）,,堺東,,080-4989-5040,10:00～翌5:00（受付時間9:00～翌3:00）,大阪府堺市堺区南花田口町1丁目,https://line.me/R/ti/p/~610rnovz,,,,不定休,完全予約制,,12000,,,,,,,,,12000,,5000,,0,0,0,11,13,14,,,,,,,,,,,,,,,,
Mrs.Bell＆Rose SPA（ミセスベルアンドローズスパ）,,堺東,,090-3950-8906,11:00～翌5:00（受付時間10:00～翌3:00）,大阪府堺市堺区翁橋町,https://line.me/R/ti/p/~mrs_bellrose,,,,不定休,完全予約制,,15000,,15000,20000,25000,,,,,,30000,6000,1000,0,0,0,1,0,0,,,,,,,,,,,,,,,,
CROWN MERMAID（クラウンマーメイド）,,堺東,,080-9740-8261,11:00～翌5:00,大阪府堺市堺区南瓦町1丁目,https://line.me/R/ti/p/~crown.m09,,,,不定休,完全予約制,,13000,,13000,17000,21000,,10000,,,,25000,6000,1000,1,21,10,3,2,0,,,,,,,,,,,,,,,,
